Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Apprentice1,Apprentice2,Construction,ConstructionURL,Super,Irrigation,Bunkers,Sand,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
Africa,Egypt,Al Alamien,,Hacienda Bay GC,Holiday,,,2021,,Sanford,,,,,,,,,,,,,,New,Open,,,2020-11-04,30.945565,28.784636,,https://www.golfcoursearchitecture.net/content/sanford-golf-design-completes-hacienda-bay-in-egypt,,bSsENKIoYiQ,,,,,,,,,,,Al Alamien,,,,,,,,,
Africa,Nigeria,Yenagoa,,HSD Castle Rock,Holiday,,,2021,,Garl Nix,,,,,Total Golf,,,,,,,,,New,Open,,,2021-07-12,4.948846,6.267643,,https://guardian.ng/sport/yenagoa-bubbles-as-hsd-golf-country-club-plans-first-anniversary/,,,newyenagoacity_,NYC,,,,,,,,,,,,,,,,,,
Africa,Rwanda,Kigali,,Rwanda Ultimate GC,Holiday,,Short,2021,,Player,$17M,,,,Gregori,,,,,,,,,New,Open,,,2021-09-03,-1.929422,30.040558,,http://www.kigaligolfclub.com,,oEV02jDc3i4,,,,,128,,,,Open,,Expansion,PlayerDesign/status/1351874437226885121,21-Mar,,,,,,,
Africa,South Africa,Pretoria,,Blair Atholl,Holiday,Public,,2021,,Ingadi,,,,,,,,,,,,,,Renovate,Open,,Player,2021-04-26,-25.908564,27.631332,,http://www.blairatholl.co.za/pages/golf-course.html,,BNhf_rYDktQ,,,,,,,,,,,2018,,,,,,,,,
Asia,China,Hong Kong,,Discovery Bay Ruby,Holiday,,,2021,,Swanson,,,,,,,,,,,,,,Renovate,Open,,RTJ,2020-11-24,22.2875,114.003084,,https://www.facebook.com/Swanson-Golf-Design-230333973676721/photos/pcb.3548466815196737/3548466011863484,,,,,,,,,,,,,,,,,,,,,,
Asia,India,Bangalore,,East Point,Once,Member,,2021,,TBA,,,,,,,,,,,,,,Renovate,Open,,,2021-03-22,17.763562,83.299388,,http://epgc.in/aboutHistory.aspx,,,,,,,,,,,,,,,,,,,,,,
Asia,India,Hyderabad,,Haldi GC,Holiday,,,2021,,Ryan Reeves,,,,,,,,,,,,,,New,Open,,,2021-01-07,17.879949,78.443251,,https://haldigolfcounty.com/golf-villa-plots-hyderabad/#about,,,haldigolfcounty,Haldi,,,,,,,,,,,,,,,,,,
Asia,India,Kerala,,Trivandrum,Once,Public,,2021,,Nandrajog,,,,,,,,,,,,,,Rebuild ,Open,,Thompson,2020-11-26,8.522467,76.964031,,http://saitrivandrumgolfclub.com/home/,,4xE0QDVYD5Y,golf_design_india,Vijit,,,,,,,9 holes,,2017,scorpiosaurus/status/1262255612160663552,Pics,,,,,,,
Asia,India,Uttar Pradesh,,Godrej Links,Holiday,,Short,2021,,Nandrajog,,,,,,,,,,,,,,New,Open,,,2021-07-26,28.470344,77.532823,,https://www.godrejpropertiesgreaternoida.com/godrej-golf-links,,,,,,,,,,,,,,gcamagazine/status/1415942121547341825,Vijit,,,,,,,
Asia,India,Uttar Pradesh,,Lotus Greens Noida,Holiday,,,2021,,Nandrajog,,,,,,,,,,,,,,New,Open,,,2022-03-04,28.564189,77.339865,,https://www.propdial.com/Property-Management-In-Noida/Sector-78/Lotus-Greens-Golf-Centric,,,,,,,,,,,,,,,,,,,,,,
Asia,Indonesia,Jakarta,,Sedayu,Holiday,,,2021,,Nicklaus Cope,,,,,,,,,,,,,,New,Open,,,2021-12-14,-6.035466,106.700915,,https://pik2info.com/golf-island/,,lGv6BnjVQOs,,,,,950,,,,Ellsworth,,MainGolfYukTV,gcamagazine/status/1295629087160111104,Par 3s,,,,,,,
Asia,Japan,Fukuoka,,Keya GC,Holiday,,,2021,,Jansen,,,,,Andrew McDaniel,,,,,,,,,Restore,Open,,,2022-04-15,33.588821,130.13313,,https://www.keyagc.co.jp/index.html,,DCVYt-Ev28M,keyakeeper,Keya,,,,,,,Bunkers,,Andrew McDaniel,drumcturf/status/1382595377954578433,21-Apr,,,,,,,
Asia,Pakistan,Multan,,Rumanza,Holiday,,,2021,,Faldo Haggar,,,,,Desert Group,,,,,,,,,New,Open,,,2021-04-20,30.288939,71.507692,,https://www.dhamultan.org/Developed-Projects/Rumanza,,MNBayAAYTAI,rumanzagolf,Rumanza,,,,,,,,,2022 Nov,FaldoDesign/status/1351569544712744960,Design,,,,,,,
Asia,Philippines,Bataan,,Tandatangan ,Holiday,,,2021,9,Cope,,,,,,,,,,,,,,New,Open,,,2021-02-15,14.450705,120.465053,,https://www.camayacoastrealestate.com/tandatangan-golf-residences,,VKmeqEv0qpg,,,3275,,,,,,,,Open,margierom29/status/1241147124185628672,20-Mar,,,brianbeltran@camayacoast.org,,,,
Asia,Philippines,Davao,,Dakak,Holiday,,,2021,,Norman Cope,$18M,,,,,,,,,,,,,New,Open,,,2021-03-29,8.696272,114.427656,,http://www.dakakgolfclub.ph/the-course/,,XzbYIxVW4Sw,,,7000,,,,,,,,Overview,,,,,,,,,
Asia,Saudi,Riyadh,,Dirab G&CC,Holiday,Member,,2021,,,,,,,,,,,,,,,,Renovate,Open,,,2021-11-22,24.4340201,46.488553,,https://dirabgolf.com/golf-course/,,,,,,,,,,,,,,,,,,,,,,
Asia,Singapore,Singapore,,Singapore Island CC,Once,Member,,2021,,Marsh,,,,,,,,,,,,,,Renovate,Open,,Pennick Thompson,2021-07-30,1.342997,103.811229,,https://gis.sicc.org.sg/?page_id=7709,,1jvzauJKyH4,,,,,,,,,27 holes,,Club Video,gcamagazine/status/1326526576289263616,Images,,,,,,,
Asia,South Korea,Haenam,,Solaseado,Once,,,2021,,Dale Ramsey,,,,,,,,,,,,,,New,Open,,,2020-06-30,34.556024,126.588755,,,,,,,,,,,,,,,,,,,,,,,,
Asia,South Korea,Incheon,,Orange,Holiday,,,2021,,TBA,,,,,,,,,,,,,,New,Open,,,2021-02-26,37.503986,126.500257,,,,,,,,,,,,,,,,,,,,,,,,
Asia,South Korea,South Korea,,Seolhaewon,Holiday,,,2021,,TBA,,,,,,,,,,,,,,New,Open,,,2021-02-26,38.053737,128.653484,,https://www.seolhaeone.com/,,,,,,,,,,,New 9,,,,,,,,,,,
Asia,Thailand,Ayutthaya,,Sai Golf Club,Holiday,Public,,2021,,JMP Moore,,,,,,,,,,,,,,New,Open,,,2021-03-17,14.145705,100.545877,,https://www.facebook.com/saigolfclub/,,htkcN8ZVr-s,,,6883,,,,,,,,Preview,,,,,,,,,
Asia,Thailand,Phang Nga,,Aquella,Holiday,,,2021,,Ryan,,,,,,,,,,,,,,New,Open,,Dye,2021-06-02,8.461472,98.114342,,https://aquella.com/,,cYa53yNJUU0,aquellathailand,Aquella,,,,,,,Muang Thai,,Beachfront,PhuketDailyNews/status/1399812058019811329,Phuket,,,,,,,
Asia,Thailand,Samut Prakan,,Ballyshear,Once,,,2021,,Hanse,,,,,,,,,,,,,,New,Open,,,2021-10-17,13.609653,100.882831,,https://brc.co.th/,,xR9IHesKJ5I,ballyshear_golf_links,Hanse,,,,,,,,,Interview,rjmcfadde/status/1334854148718817280,Overhead,Yes,,,,,,
Asia,Thailand,Ubon,,RTAFB Wing 21,Govt.,Public,,2021,,,,,,,,,,,,,,,,Rebuild ,Open,,,2021-06-16,15.25476,104.86127,,https://forum.thaivisa.com/topic/1219439-ubon-golf/,,,,,,,,,,,,,,,,,,,,,,
Asia,Vietnam,Hanoi,,Thanh Lanh,Holiday,Public,,2021,,Faldo Haggar,,,,,Flagstick,,,,,,,,,New,Open,,,2022-02-25,21.39786,105.685922,,https://www.facebook.com/mike.sebastian.apgg/posts/3800163370068464,,JjFowc_ab40,,,,,,,,,Serena,,Tour,FaldoDesign/status/1471872029615927304,Images,,,,,,,
Asia,Vietnam,Hanoi,,Amber Hills Hillside,Holiday,,,2021,,Albanese Lutzke,,,,,,,,,,,,,,New,Open,,,2021-03-27,21.214816,106.1953,,http://amberhills.vn/golf-course,,S8svGH7vOmg,alegolf.vietnam,Tee time,,,,,,,Yen Dung,,2020,,,,,,,,,
Asia,Vietnam,Hoa Binh,,Hilltop Valley,Holiday,,,2021,,B Stenson,,,,,,,,,,,,,,New,Open,,,2021-01-22,20.879405,105.350913,,http://hilltopvalleygolf.com/,,,,,,,,,,,IMG,,,,,,,,,,,
Asia,Vietnam,Ninh Binh,,Royal GC Queens,Holiday,,,2021,,Nicklaus II Wagner,,,,,Cameron Thompson,,,,,,Primo Zoysia,Zeon Zoysia,,New,Open,,,2021-03-11,20.125885,104.845866,,https://www.golfcoursearchitecture.net/content/work-turns-to-back-nine-on-new-nicklaus-course-in-vietnam,,gL9RCLV0-2A,,,,,,,,,,,19-Nov,,,,,,,,,
Asia,Vietnam,Phan Thiet,,Nova PGA Ocean,Holiday,,,2021,,Norman,,,,,Flagstick,Sports Turf,,,,,Primo Zoysia,Zeon Zoysia,,New,Open,,,2021-08-20,10.845856,107.965728,,https://novaworldphanthiet.com.vn/en/phan-ky/,,8CGKEG2ZjxQ,,,,,,,,,,,Flyover,STSAsia/status/1294462134760255494,STS,,,,,,,
AU/NZ,Australia,NSW,,Hurstville GC,Holiday,Member,,2021,,TBA,$1.1M,,,,,,,,,,,,,Renovate,Open,,,2020-12-04,-33.981212,151.018851,,https://hurstvillegolf.com.au/,,,,,,,,,,,,,,,,,,,,,,
AU/NZ,Australia,NSW,,Palm Beach GC,Holiday,Public,,2021,9,Parry,$0.7M,,,,,,,,,,,,,Renovate,Open,,,2021-06-30,-33.5922437,151.319526,,https://www.palmbeachgolf.com.au/,,,,,,,,,,,,,,,,,,,,,,
AU/NZ,Australia,NSW,,Pymble,Holiday,Public,,2021,,Wilcher,,,,,,,,,,,,,,Renovate,Open,,,2021-12-28,-33.7307466,151.1532443,,https://www.pymblegolf.com.au,,,,,,,,,,,Golf by Design,,,AdrianLogue/status/1474332954381852678,Hole 11,,,,,,,
AU/NZ,Australia,NSW,,Wakehurst,Holiday,Member,,2021,,Brown Parry,,,,,,,,,,,,,,Renovate,Open,,,2021-11-07,-33.7802544,151.2438049,,https://wakehurstgolf.com.au/,,,wakehurstgolfclub,Club,,,,,,,,,,AdrianBoyleGolf/status/1456421398671462405,4 Greens,,,,,,,
AU/NZ,Australia,Perth,,Fremantle GC,Holiday,Member,,2021,,Chamberlain,,,,,,,,,,,,,,Renovate,Open,,,2021-01-07,-32.103235,115.458105,,https://freoview.wordpress.com/2019/12/20/new-freo-public-golf-course-plans/,,,,,,,,,,,,,,,,,,,,,,
AU/NZ,Australia,Tasmania,,Barnbougle Bougle Run,Holiday,,,2021,,Johns Hawker,,,,,,,,,,,,,,New,Open,,,2021-04-05,-41.004858,147.435641,,https://twitter.com/Barnbougle,,stLGGgFOSCY,barnbougle,Bougle,,,,,,,Coore,,Caddie,AussieGolfer/status/1360902658090037259, Mar 2021,,,,,,,
AU/NZ,Australia,Victoria,,Neangar Park,Holiday,,Short,2021,,Davey,,,,,,,,,,,,,,New,Open,,,2020-12-01,-36.713958,142.027724,,https://www.contourgolf.com.au/,,hnZ7843U-wM,contour_golf,Contour,,,,,,,Bendigo,,Tifdwarf,,,,,,,,,
